"Gene","X","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"AAMP","AAMP|Q13685",0.14543119872766,21.8797787020371,2.23612319628505,0.0255958164583136,0.110173296929263,-4.42756598393554
"ABCC1","ABCC1|P33527",0.0465422619209264,19.6173997496342,0.581236742760054,0.561231200805846,0.809153721550176,-6.73081067165106
"ABCE1","ABCE1|P61221",-0.00705762564063761,24.6856957931458,-0.315480086488672,0.752471505522287,0.950995902723911,-6.85819638619882
"ABI3","ABI3|Q9P2A4",0.113933496060092,19.8591984774957,1.54167412921054,0.123540267095569,0.376864791813365,-5.68114376383
"ABR","ABR|Q12979",-0.140594378930341,26.2526497696077,-6.60476440781891,6.86008852901867e-11,2.54680786639818e-09,14.1936590135443
"ACADSB","ACADSB|P45954",-0.120194007640276,24.3934396998965,-4.2276636895758,2.60650151725761e-05,0.000368633786012148,1.86232264372855
"ACBD5","ACBD5|Q5T8D3",0.00301591896532827,23.0283260818223,0.0860418906172809,0.931452568158227,0.981653972198851,-6.90385568743363
"ACOT9","ACOT9|Q9Y305",-0.0186186609715371,25.677634469697,-0.745120158141798,0.456396808845316,0.724865519930795,-6.63242177376002
"ACOX1","ACOX1|Q15067",-0.076960201580146,24.2226548029674,-2.91410440014146,0.00365691360122541,0.0212961439130185,-2.71866100070846
"ACTR8","ACTR8|Q9H981",-0.0339433430183682,16.9867948485613,-0.200352082234799,0.841365890273781,0.968520643880219,-6.28616424552685
"ADAP1","ADAP1|O75689",-0.0759782570816867,25.3908104579139,-3.93656659678284,8.91388055067489e-05,0.00101823943213479,0.706352558466001
"ADD3","ADD3|Q9UEY8",0.145683100898452,27.0579537856037,8.48482160078265,9.00435346054492e-17,8.91430992593947e-15,27.3859004380304
"AKAP10","AKAP10|O43572",0.00838722540597203,22.9200725426142,0.221298308815029,0.824911187919642,0.96667428143473,-6.88325204566796
"AKTIP","AKTIP|Q9H8T0",-0.0131219751139433,20.3795306602111,-0.206457497640815,0.836482459019278,0.96667428143473,-6.86931254489155
"ALG9","ALG9|Q9H6U8",-0.116016075102959,20.5178587532345,-1.5246732416473,0.127701350998575,0.383104052995725,-5.75002338856766
"ALKBH3","ALKBH3|Q96Q83",-0.0140564107440291,16.9101792482824,-0.101764345226519,0.918991780606242,0.978856067893137,-6.54140803185105
